epoch,kl_weight,lr,kl_loss,recon_loss,loss,mode
32,0.001,0.00023837389521772474,16.856914234161376,0.5737072557210923,0.5905641704797745,Train
32,0.001,0.0,16.975839138031006,0.5778151214122772,0.5947909563779831,Eval
33,0.001,0.00019669804065905463,17.439319324493407,0.5676330357789994,0.5850723534822464,Train
33,0.001,0.0,16.943229484558106,0.5708731472492218,0.5878163814544678,Eval
34,0.001,0.0001505,18.205094718933104,0.56277517080307,0.5809802621603012,Train
34,0.001,0.0,18.507312393188478,0.5658953428268433,0.5844026565551758,Eval
35,0.001,0.00010430195934094538,18.539077758789062,0.5598465025424957,0.5783855766057968,Train
35,0.001,0.0,17.965067768096922,0.5626873791217804,0.580652442574501,Eval
36,0.001,6.262610478227528e-05,18.719452953338624,0.5561549663543701,0.5748744159936905,Train
36,0.001,0.0,18.839749240875243,0.5603988587856292,0.5792386084794998,Eval
